person_id,name,effective_share
P000728,Морозов Наталья Николаевич,0.42920819905
P004236,Смирнов Михаил Петрович,0.27113151968
P012625,Соловьёв Юлия Иванович,0.114645611956
P014568,Смирнов Мария Алексеевич,0.0905291336058
P013751,Соколов Юлия Андреевич,0.0578967643921
P009072,Иванов Дмитрий Андреевич,0.0491625338168
P005108,Богданов Сергей Дмитриевич,0.0454681555591
P002614,Морозов Дмитрий Николаевич,0.02481200135
P013236,Зайцев Михаил Иванович,0.019054372144
P014603,Зайцев Анна Алексеевич,0.0142565421615
P008862,Новиков Дмитрий Михайлович,0.0133604052365
P000736,Волков Татьяна Сергеевич,0.0125389543591
P014401,Кузнецов Артём Сергеевич,0.0125289801909
P008320,Павлов Мария Алексеевич,0.0118415664118
P014448,Новиков Мария Михайлович,0.0117942861089
P006310,Зайцев Владимир Николаевич,0.00759813882172
P005796,Виноградов Екатерина Михайлович,0.00688869450767
P005440,Соколов Владимир Николаевич,0.00463402330542
P000231,Голубев Сергей Сергеевич,0.0041248836064
P010717,Иванов Михаил Михайлович,0.00403160027572
P005804,Кузнецов Иван Алексеевич,0.00360175313732
P012135,Зайцев Екатерина Николаевич,0.00356907292194
P009391,Воробьёв Елена Сергеевич,0.00342770912302
P011502,Соколов Екатерина Сергеевич,0.00314700403949
P011384,Виноградов Юлия Сергеевич,0.00293589765995
P008387,Петров Андрей Андреевич,0.00272089952559
P001351,Смирнов Светлана Николаевич,0.00235930842639
P003589,Морозов Елена Алексеевич,0.00231764915871
P002861,Волков Пётр Михайлович,0.00215529845578
P009671,Новиков Мария Алексеевич,0.00200862619723
P009157,Кузнецов Елена Михайлович,0.00195116091091
P013351,Петров Екатерина Дмитриевич,0.0019349474841
P013979,Морозов Пётр Сергеевич,0.00153924686075
P011650,Смирнов Светлана Петрович,0.00140282498045
P011780,Семёнов Татьяна Алексеевич,0.00108835105791
P000941,Козлов Екатерина Петрович,0.00105570725282
P000721,Морозов Сергей Иванович,0.00105265866837
P006384,Лебедев Пётр Михайлович,0.00104238070771
P001648,Смирнов Елена Иванович,0.000770611623857
P003888,Васильев Николай Николаевич,0.000467772217339
P011717,Попов Елена Михайлович,0.000467772217339
P001354,Лебедев Мария Иванович,0.000344322513689
P000369,Лебедев Наталья Андреевич,0.000275252649746
P002088,Воробьёв Пётр Андреевич,0.000252712277841
P002294,Семёнов Иван Сергеевич,0.000201861636568
P010759,Виноградов Михаил Николаевич,0.000201861636568
P009269,Кузнецов Ирина Андреевич,0.00016658279372
